fname,itp,its,channels
CI_DPP_2013062217345377.npz,3000,3590,HHE_HHN_HHZ
NC_GBD_1985021117290228.npz,3000,3285,EHZ
NC_HPL_1992022902554152.npz,3000,3267,EHZ
BG_DVB_2013021605490556.npz,3000,3048,DPE_DPN_DPZ
NC_MLC_1985111901284647.npz,3000,3160,EHZ
BG_FUM_2012092316223207.npz,3000,3081,DPE_DPN_DPZ
NC_LCF_1988093006011698_02.npz,3000,3299,EHZ
PG_BP_2008110314434009.npz,3000,3173,EHZ
BG_SB4_2017012813103811.npz,3000,3059,DPE_DPN_DPZ
NC_NTAB_2004081306125131.npz,3000,3129,HNE_HNN_HNZ
NC_GDXB_2007012922272693.npz,3000,3037,HNE_HNN_HNZ
NC_MCO_2016111504021890.npz,3000,3213,HNE_HNN_HNZ
NC_GDXB_2017020915251675.npz,3000,3044,HNE_HNN_HNZ
BK_RAMR_2008073123432079.npz,3000,3282,HLE_HLN_HLZ
BG_NEG_2017071711081046.npz,3000,3097,DPE_DPN_DPZ
BG_JKR_2011060216251169.npz,3000,3072,DPE_DPN_DPZ
NC_CSL_2002112414542687.npz,3000,3307,EHZ
NC_MMP_2016102706150145.npz,3000,3191,EHZ
BG_BRP_2014060407020473.npz,3000,3092,DPE_DPN_DPZ
NN_HTC_1988112019593994_N1.npz,3000,3277,EHZ
BG_ACR_2012082505145960.npz,3000,3099,DPE_DPN_DPZ
NC_MCV_1999071111141796.npz,3000,3065,EHZ
NN_OMMB_2017072215554319.npz,3000,3060,HHE_HHN_HHZ
NC_CAO_1986022410342875.npz,3000,3238,ELE_ELN_ELZ
BG_ACR_2012120413330715.npz,3000,3094,DPE_DPN_DPZ
NC_GDXB_2012010123094724.npz,3000,3064,HHE_HHN_HHZ
NC_HTU_2015050312175500.npz,3000,3224,EHZ
NC_BBG_2007102001425167.npz,3000,3338,EHZ
BK_PACP_2012032208214206.npz,3000,3182,HHE_HHN_HHZ
BG_PFR_2009102117592513.npz,3000,3133,DPE_DPN_DPZ
BK_HATC_2013052418582783.npz,3000,4074,HHE_HHN_HHZ
BG_BUC_2011042314090451.npz,3000,3062,DPE_DPN_DPZ
BK_PKD_2014061613251098.npz,3000,3149,BHE_BHN_BHZ
PB_B066_2010082016525229.npz,3000,3204,EHZ
BK_SCZ_2015010319313383.npz,3000,3311,BHE_BHN_BHZ
BG_CLV_2010120607083474.npz,3000,3074,DPE_DPN_DPZ
NC_CCOB_2016022817551615.npz,3000,3395,EHE_EHN_EHZ
NC_GCR_1985032323281663_01.npz,3000,3462,EHZ
BG_NEG_2011070416090892.npz,3000,3140,DPE_DPN_DPZ
BG_HVC_2015031008403145.npz,3000,3077,DPE_DPN_DPZ
NC_MCO_2015022708092442.npz,3000,3215,HNE_HNN_HNZ
NC_GDXB_2008071720041377.npz,3000,3065,HNE_HNN_HNZ
PG_PB_2006112106061118.npz,3000,3195,EHE_EHN_EHZ
PB_B072_2017092719561779.npz,3000,3174,EHZ
BK_RAMR_2012042511425024.npz,3000,3384,HNE_HNN_HNZ
PB_B067_2014021223063856.npz,3000,3313,EHZ
BK_TCHL_2014062504301235.npz,3000,3815,HNE_HNN_HNZ
BK_OXMT_2013042901050620.npz,3000,3190,HHE_HHN_HHZ
BG_PFR_2007080600370485.npz,3000,3055,DPE_DPN_DPZ
BG_PFR_2011020821154783.npz,3000,3046,DPE_DPN_DPZ
NC_PHSB_2015090315014838.npz,3000,3198,HNE_HNN_HNZ
BK_MHC_2016090415525913.npz,3000,3130,BHE_BHN_BHZ
NC_MDPB_2012100610434359.npz,3000,3124,HHE_HHN_HHZ
NC_MMLB_2009102603503649.npz,3000,3141,HHE_HHN_HHZ
BK_HAST_2008122812025643.npz,3000,3484,HHE_HHN_HHZ
NN_VPK_2014011117265656.npz,3000,3248,EHZ
NN_OMMB_2013120409094868.npz,3000,3266,HHE_HHN_HHZ
BG_RGP_2012040606273810.npz,3000,3110,DPE_DPN_DPZ
NP_1746_2015082801071009.npz,3000,3504,HNE_HNN_HNZ
PG_AR_2004072706535818.npz,3000,3300,ELE_ELN_ELZ
PG_LM_2004021011380730.npz,3000,3279,ELE_ELN_ELZ
BG_SB4_2007081713070678.npz,3000,3066,DPE_DPN_DPZ
BG_STY_2013010900313751.npz,3000,3227,DPE_DPN_DPZ
PG_DC_2005060814233696.npz,3000,3272,EHE_EHN_EHZ
BG_SQK_2016121417272497.npz,3000,3142,DPE_DPN_DPZ
NN_TVH1_2011071500270912.npz,3000,3099,HHE_HHN_HHZ
BG_SQK_2012020800562494.npz,3000,3066,DPE_DPN_DPZ
NC_LTC_2007010919045585.npz,3000,3405,SHZ
NC_PHF_1995112013003562.npz,3000,3102,ELE_ELN_ELZ
BK_BRIB_2008092115164635.npz,3000,3304,HHE_HHN_HHZ
NC_BSR_2004022804075601.npz,3000,3401,EHZ
BG_CLV_2015031500380854.npz,3000,3054,DPE_DPN_DPZ
BG_PFR_2010111305062112.npz,3000,3143,DPE_DPN_DPZ
NC_KMPB_2007112407413145.npz,3000,3493,HNE_HNN_HNZ
NC_PHF_2003081210290123.npz,3000,3218,ELE_ELN_ELZ
NC_MDP_2007031703064259.npz,3000,3335,EHZ
NN_OMMB_2012030217430717.npz,3000,3080,HHE_HHN_HHZ
PG_PB_2006031611182298.npz,3000,3250,EHE_EHN_EHZ
BG_MCL_2011041301543132.npz,3000,3070,DPE_DPN_DPZ
NC_GAXB_2010071021574067.npz,3000,3178,HNE_HNN_HNZ
NC_GDXB_2015031622001532.npz,3000,3071,HNE_HNN_HNZ
PG_BLD_2012072120535185.npz,3000,3161,HNE_HNN_HNZ
BG_LCK_2012031705445526.npz,3000,3110,DPE_DPN_DPZ
NC_BSG_1994061314420243.npz,3000,3247,ELE_ELN_ELZ
BG_PFR_2008021506430267.npz,3000,3100,DPE_DPN_DPZ
PG_WRD_2013112714433587.npz,3000,3223,EHE_EHN_EHZ
